Name,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Aaliyah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,40.0,46.0,38.0,39.0,28.0,28.0,20.0,21.0,10.0,18.0,14.0,17.0,14.0,12.0,15.0,25.0,22.0,1457.0,1254.0,831.0,1738.0,1404.0,1088.0,1494.0,3360.0,4786.0,3677.0,3496.0,3465.0,3739.0,3951.0,4038.0,4365.0,4663.0,5104.0,5502.0,5225.0,4855.0
Aaron,102.0,94.0,85.0,105.0,97.0,88.0,86.0,78.0,90.0,85.0,96.0,69.0,95.0,81.0,79.0,94.0,69.0,87.0,89.0,71.0,103.0,80.0,78.0,93.0,117.0,96.0,96.0,130.0,114.0,142.0,145.0,187.0,303.0,417.0,490.0,553.0,588.0,601.0,663.0,645.0,668.0,697.0,705.0,626.0,682.0,657.0,600.0,552.0,560.0,475.0,506.0,466.0,514.0,463.0,477.0,465.0,443.0,470.0,482.0,471.0,513.0,562.0,574.0,558.0,514.0,485.0,577.0,689.0,710.0,802.0,804.0,879.0,944.0,905.0,981.0,1108.0,1291.0,1351.0,1405.0,1556.0,1794.0,1892.0,2030.0,2088.0,2413.0,2445.0,2618.0,2929.0,3450.0,4647.0,6655.0,8477.0,7924.0,9319.0,10601.0,10671.0,11502.0,11780.0,12471.0,13218.0,13342.0,14838.0,14563.0,14627.0,13532.0,13271.0,12824.0,12820.0,14526.0,15414.0,14633.0,14342.0,14593.0,13936.0,14484.0,13368.0,12047.0,11231.0,10603.0,9901.0,9586.0,9568.0,9039.0,8897.0,8443.0,7824.0,8314.0,8955.0,8559.0,7995.0,7473.0,7627.0,7530.0,7289.0,7357.0
Abigail,12.0,8.0,14.0,11.0,13.0,9.0,15.0,13.0,18.0,20.0,9.0,11.0,11.0,21.0,13.0,15.0,15.0,15.0,11.0,7.0,14.0,13.0,18.0,20.0,8.0,11.0,15.0,12.0,13.0,12.0,16.0,18.0,24.0,14.0,25.0,38.0,37.0,41.0,26.0,31.0,33.0,24.0,29.0,32.0,31.0,37.0,30.0,33.0,40.0,33.0,25.0,27.0,30.0,32.0,30.0,37.0,36.0,45.0,50.0,53.0,48.0,40.0,48.0,63.0,56.0,53.0,77.0,78.0,72.0,113.0,111.0,137.0,152.0,167.0,148.0,181.0,189.0,188.0,193.0,206.0,228.0,233.0,264.0,255.0,244.0,211.0,190.0,245.0,263.0,281.0,362.0,392.0,395.0,481.0,605.0,614.0,838.0,796.0,1009.0,1226.0,1587.0,1819.0,1892.0,1920.0,1848.0,1859.0,2011.0,2014.0,2382.0,3423.0,3739.0,3810.0,4003.0,5196.0,7252.0,7833.0,8615.0,9633.0,11117.0,11695.0,13103.0,14822.0,15313.0,15941.0,15512.0,15760.0,15638.0,15488.0,15092.0,14392.0,14237.0,13250.0,12675.0,12377.0,11997.0
Adam,104.0,116.0,114.0,107.0,83.0,96.0,103.0,84.0,120.0,93.0,74.0,87.0,106.0,87.0,86.0,78.0,96.0,88.0,87.0,74.0,111.0,71.0,99.0,82.0,103.0,101.0,105.0,127.0,109.0,113.0,154.0,189.0,307.0,354.0,489.0,574.0,609.0,614.0,653.0,542.0,579.0,588.0,469.0,435.0,464.0,459.0,425.0,389.0,357.0,308.0,274.0,300.0,257.0,235.0,237.0,238.0,216.0,222.0,214.0,216.0,227.0,230.0,241.0,252.0,221.0,209.0,247.0,270.0,244.0,301.0,306.0,297.0,295.0,332.0,282.0,351.0,394.0,434.0,469.0,585.0,1019.0,1581.0,2155.0,2349.0,2867.0,2578.0,2512.0,2537.0,2557.0,2884.0,4341.0,5883.0,5774.0,6879.0,8489.0,8699.0,9992.0,11096.0,13989.0,17163.0,18965.0,20118.0,20209.0,23612.0,24075.0,20278.0,18244.0,17014.0,16535.0,16987.0,14743.0,12320.0,11939.0,11549.0,11053.0,10495.0,9577.0,8817.0,8367.0,8239.0,8149.0,7762.0,7757.0,7705.0,7505.0,6850.0,6801.0,6786.0,6098.0,5669.0,5102.0,5207.0,5303.0,5232.0,5300.0
Addison,19.0,17.0,21.0,20.0,17.0,17.0,16.0,12.0,20.0,11.0,14.0,10.0,12.0,9.0,20.0,19.0,14.0,8.0,18.0,12.0,11.0,9.0,14.0,15.0,9.0,16.0,7.0,11.0,17.0,13.0,12.0,20.0,33.0,33.0,59.0,62.0,71.0,73.0,76.0,64.0,59.0,78.0,74.0,64.0,58.0,44.0,59.0,65.0,54.0,49.0,57.0,51.0,42.0,41.0,42.0,34.0,35.0,37.0,33.0,37.0,33.0,35.0,40.0,44.0,32.0,26.0,35.0,34.0,25.0,34.0,42.0,40.0,31.0,31.0,41.0,36.0,30.0,33.0,21.0,30.0,32.0,31.0,26.0,30.0,20.0,28.0,26.0,18.0,16.0,27.0,34.0,38.0,28.0,23.0,22.0,28.0,29.0,16.0,25.0,37.0,43.0,25.0,40.0,36.0,44.0,73.0,327.0,324.0,289.0,310.0,319.0,347.0,382.0,481.0,595.0,664.0,778.0,889.0,1041.0,1213.0,1419.0,1586.0,1856.0,2132.0,2484.0,3414.0,8062.0,12284.0,11021.0,10895.0,10509.0,9484.0,8334.0,7848.0,7079.0
Adrian,18.0,12.0,18.0,14.0,9.0,12.0,17.0,13.0,19.0,16.0,17.0,16.0,18.0,13.0,18.0,18.0,22.0,27.0,17.0,30.0,27.0,29.0,26.0,23.0,30.0,33.0,34.0,31.0,41.0,38.0,42.0,62.0,138.0,164.0,192.0,242.0,253.0,287.0,337.0,295.0,292.0,295.0,290.0,347.0,350.0,284.0,298.0,235.0,242.0,242.0,220.0,233.0,224.0,210.0,232.0,234.0,243.0,247.0,276.0,270.0,266.0,295.0,277.0,258.0,281.0,273.0,338.0,378.0,371.0,415.0,401.0,450.0,469.0,490.0,463.0,519.0,551.0,568.0,542.0,591.0,666.0,741.0,847.0,773.0,947.0,888.0,914.0,1047.0,1189.0,1244.0,1511.0,1737.0,1917.0,1810.0,2013.0,2167.0,2329.0,2534.0,2624.0,2712.0,2737.0,2783.0,2923.0,3022.0,3112.0,3518.0,3248.0,3200.0,3601.0,3722.0,4375.0,4249.0,4166.0,4076.0,4054.0,4139.0,4322.0,4344.0,5674.0,5242.0,5549.0,5613.0,5875.0,6279.0,6306.0,6883.0,7557.0,7911.0,8083.0,7788.0,7558.0,7487.0,7059.0,6951.0,6764.0
Adriana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,6.0,9.0,0.0,5.0,13.0,19.0,13.0,15.0,11.0,12.0,13.0,18.0,16.0,22.0,20.0,20.0,16.0,15.0,16.0,11.0,16.0,21.0,9.0,6.0,23.0,17.0,25.0,17.0,17.0,16.0,23.0,21.0,21.0,24.0,21.0,23.0,21.0,35.0,45.0,33.0,38.0,43.0,46.0,49.0,71.0,53.0,77.0,89.0,77.0,102.0,137.0,148.0,149.0,172.0,217.0,238.0,258.0,283.0,360.0,475.0,458.0,464.0,447.0,490.0,519.0,614.0,683.0,796.0,816.0,938.0,1113.0,1055.0,1195.0,1067.0,977.0,1137.0,1263.0,1224.0,1465.0,2290.0,2167.0,2264.0,2217.0,2085.0,2188.0,2076.0,2109.0,2561.0,2483.0,2309.0,2686.0,2649.0,2392.0,2838.0,2837.0,2709.0,3101.0,2932.0,2724.0,2567.0,2460.0,2318.0,2147.0,2092.0,1869.0
Agnes,473.0,424.0,565.0,623.0,703.0,695.0,779.0,901.0,1046.0,1033.0,1095.0,1125.0,1333.0,1399.0,1477.0,1466.0,1661.0,1585.0,1708.0,1619.0,1922.0,1534.0,1681.0,1622.0,1672.0,1729.0,1767.0,1842.0,1941.0,1985.0,2176.0,2315.0,2959.0,3217.0,3735.0,4803.0,4861.0,5078.0,5303.0,4907.0,4920.0,4816.0,4488.0,4235.0,4252.0,3927.0,3551.0,3354.0,3033.0,2782.0,2521.0,2312.0,2126.0,1887.0,1942.0,1588.0,1608.0,1428.0,1395.0,1304.0,1200.0,1093.0,1141.0,1054.0,962.0,824.0,868.0,839.0,833.0,729.0,748.0,655.0,626.0,642.0,523.0,563.0,508.0,494.0,418.0,425.0,429.0,396.0,353.0,320.0,278.0,259.0,202.0,193.0,154.0,129.0,120.0,132.0,121.0,94.0,94.0,86.0,65.0,63.0,65.0,71.0,77.0,93.0,69.0,82.0,62.0,67.0,69.0,70.0,76.0,79.0,76.0,67.0,69.0,54.0,58.0,61.0,64.0,47.0,64.0,63.0,68.0,60.0,53.0,62.0,57.0,59.0,68.0,65.0,61.0,81.0,67.0,96.0,122.0,123.0,187.0
Aidan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,9.0,7.0,5.0,7.0,0.0,5.0,7.0,11.0,9.0,12.0,13.0,14.0,8.0,11.0,23.0,13.0,22.0,25.0,17.0,33.0,28.0,38.0,44.0,37.0,38.0,45.0,67.0,86.0,65.0,75.0,97.0,150.0,184.0,307.0,370.0,551.0,1061.0,1163.0,1466.0,1792.0,2348.0,3440.0,4826.0,7143.0,10290.0,10017.0,9912.0,10199.0,8545.0,7816.0,5881.0,4351.0,3762.0,3254.0,2683.0,2285.0
Aiden,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,5.0,0.0,0.0,6.0,0.0,5.0,0.0,8.0,0.0,5.0,0.0,5.0,6.0,19.0,0.0,7.0,21.0,18.0,16.0,27.0,39.0,57.0,101.0,162.0,192.0,296.0,397.0,513.0,937.0,1652.0,2909.0,5789.0,7280.0,9209.0,11717.0,13268.0,15709.0,16113.0,15624.0,15559.0,14949.0,13649.0,13353.0
